repo_name,github_url,stargazers,forkers,ratio
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,8521,413,20.63
iamkun/dayjs,https://github.com/iamkun/dayjs,8506,319,26.66
nvbn/thefuck,https://github.com/nvbn/thefuck,8470,165,51.33
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,8467,424,19.97
koajs/koa,https://github.com/koajs/koa,8467,525,16.13
Microsoft/TypeScript,https://github.com/Microsoft/TypeScript,8445,497,16.99
typeorm/typeorm,https://github.com/typeorm/typeorm,8411,465,18.09
serverless/serverless,https://github.com/serverless/serverless,8366,399,20.97
microsoft/TypeScript,https://github.com/microsoft/TypeScript,8352,544,15.35
microsoft/vscode,https://github.com/microsoft/vscode,8335,901,9.25
mui-org/material-ui,https://github.com/mui-org/material-ui,8322,1095,7.6
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,8318,714,11.65
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,8277,585,14.15
facebook/create-react-app,https://github.com/facebook/create-react-app,8236,1392,5.92

